site,year,salinity,depth (ft)
1858,2013,2.33,0.15655
2041,2013,2.01,-0.64315
2154,2013,5.08,0.1303
2156,2013,6.89,-0.071071
2219,2013,2.19,-0.39581
2334,2013,8.49,0.13174
2418,2013,4,0.16857
2493,2013,1.13,0.24412
2568,2013,0.23,-0.19573
2608,2013,0.21,0.26004
2627,2013,0.44,0.35305
2634,2013,0.48,0.12463
2825,2013,6.49,-0.40141
2830,2013,3.56,-0.17234
2854,2013,4.89,-0.034494
3054,2013,0.19,-0.10596
3136,2013,0.13,-0.10707
3601,2013,13,0.081479
3617,2013,14.09,0.0463
3626,2013,5.62,0.11533
3639,2013,6.07,-0.23406
3641,2013,7.08,-0.10978
3650,2013,6.13,-0.21214
3664,2013,7.91,-0.054109
